#cur_kf_id,timestamp_kf,numSF,numValid,numDegenerate,numFarPoints,numOutliers,numCheirality,numNonInitialized,meanPixelError,maxPixelError,meanTrackLength,maxTrackLength,nrElementsInMatrix,nrZeroElementsInMatrix
0,1620391242790392008,0,0,0,0,0,0,0,0,0,0,0,225,210
1,1620391242990407008,0,0,0,0,0,0,0,0,0,0,0,900,306
2,1620391243257034008,0,0,0,0,0,0,0,0,0,0,0,2025,924
3,1620391243457043008,0,0,0,0,0,0,0,0,0,0,0,3600,1992
4,1620391243657047008,0,0,0,0,0,0,0,0,0,0,0,5625,3510
5,1620391243857063008,0,0,0,0,0,0,0,0,0,0,0,8100,5478
6,1620391244123690008,0,0,0,0,0,0,0,0,0,0,0,11025,7896
7,1620391244323820008,0,0,0,0,0,0,0,0,0,0,0,14400,10764
8,1620391244523836008,0,0,0,0,0,0,0,0,0,0,0,18225,14082
9,1620391244790458008,0,0,0,0,0,0,0,0,0,0,0,22500,17850
10,1620391244990467008,0,0,0,0,0,0,0,0,0,0,0,27225,22068
11,1620391245190479008,0,0,0,0,0,0,0,0,0,0,0,32400,26736
12,1620391245390485008,0,0,0,0,0,0,0,0,0,0,0,38025,31854
13,1620391245590489008,0,0,0,0,0,0,0,0,0,0,0,44100,37422
14,1620391245790500008,0,0,0,0,0,0,0,0,0,0,0,50625,43440
15,1620391245990507008,0,0,0,0,0,0,0,0,0,0,0,57600,49908
16,1620391246190519008,0,0,0,0,0,0,0,0,0,0,0,65025,56826
17,1620391246457270008,0,0,0,0,0,0,0,0,0,0,0,72900,64194
18,1620391246657282008,0,0,0,0,0,0,0,0,0,0,0,81225,72012
19,1620391246857287008,0,0,0,0,0,0,0,0,0,0,0,90000,80280
20,1620391247057302008,0,0,0,0,0,0,0,0,0,0,0,99225,88998
21,1620391247257305008,0,0,0,0,0,0,0,0,0,0,0,108900,98166
22,1620391247457310008,0,0,0,0,0,0,0,0,0,0,0,119025,107784
23,1620391247657315008,275,16,0,0,0,0,259,0,0,4.0625,23,129600,101220
24,1620391247857334008,285,17,0,0,0,0,268,0,0,4.1176470588235289938,23,140625,111594
25,1620391248123959008,305,16,0,0,0,0,289,0,0,4.1875,23,152100,122562
26,1620391248323963008,424,20,0,0,0,0,404,0,0,3.75,23,164025,133980
27,1620391248523978008,424,20,0,0,0,0,404,0,0,3.75,23,176400,145848
28,1620391248723981008,424,21,0,0,0,0,403,0,0,3.6666666666666665186,23,189225,158166
29,1620391248923983008,424,20,0,0,0,0,404,0,0,3.75,23,189225,158166
30,1620391249123998008,362,19,0,0,0,0,343,0,0,2.7368421052631579649,5,189225,157518
31,1620391249324007008,361,19,0,0,0,0,342,0,0,2.7368421052631579649,5,189225,159066
32,1620391249524011008,491,36,0,0,0,0,455,0,0,2.9444444444444446418,6,189225,159678
33,1620391249724018008,519,32,0,0,0,0,487,0,0,2.84375,6,189225,161082
34,1620391249924148008,555,32,0,0,0,0,523,0,0,2.84375,6,189225,162414
35,1620391250124163008,578,32,0,0,0,0,546,0,0,2.84375,6,189225,163674
36,1620391250324163008,587,32,0,0,0,0,555,0,0,2.84375,6,189225,164862
37,1620391250524172008,600,32,0,0,0,0,568,0,0,2.84375,6,189225,165978
38,1620391250724176008,618,32,0,0,0,0,586,0,0,2.84375,6,202500,178746
39,1620391250924190008,649,32,0,0,0,0,617,0,0,2.84375,6,202500,179790
40,1620391251124192008,785,151,0,0,0,0,634,0,0,2.1390728476821192494,5,202500,181482
41,1620391251324202008,868,180,0,0,0,0,688,0,0,2.5722222222222224097,5,202500,182310
42,1620391251524209008,927,195,0,0,0,0,732,0,0,3.2512820512820512775,5,202500,182994
43,1620391251724221008,925,215,0,0,0,0,710,0,0,3.3116279069767440291,5,202500,183750
44,1620391251924223008,920,213,0,0,0,0,707,0,0,3.3239436619718309984,5,202500,184434
45,1620391252124232008,908,244,0,0,0,0,664,0,0,3.2663934426229506158,6,202500,184326
46,1620391252324236008,880,217,0,0,0,0,663,0,0,3.3225806451612904802,6,202500,184866
47,1620391252524251008,877,214,0,0,0,0,663,0,0,3.3271028037383176823,5,202500,186054
48,1620391252724251008,866,214,0,0,0,0,652,0,0,3.3271028037383176823,5,202500,186450
49,1620391252924258008,858,213,0,0,0,0,645,0,0,3.319248826291079979,4,202500,186774
50,1620391253124269008,849,212,0,0,0,0,637,0,0,3.3160377358490564781,4,202500,187026
51,1620391253324281008,796,204,0,0,0,0,592,0,0,3.3235294117647060652,4,202500,187170
52,1620391253591032008,761,199,0,0,0,0,562,0,0,3.3567839195979898292,4,202500,187350
53,1620391253791038008,751,199,0,0,0,0,552,0,0,3.3567839195979898292,4,202500,187350
54,1620391253991042008,731,199,0,0,0,0,532,0,0,3.3567839195979898292,4,202500,187350
55,1620391254191058008,612,188,0,0,0,0,424,0,0,3.3989361702127660614,4,202500,187314
56,1620391254457688008,587,188,0,0,0,0,399,0,0,3.3989361702127660614,4,202500,187314
57,1620391254657694008,547,188,0,0,0,0,359,0,0,3.3989361702127660614,4,202500,186738
