#cur_kf_id,numAddedSmartF,numAddedImuF,numAddedNoMotionF,numAddedConstantF,numAddedBetweenStereoF,state_size,landmark_count
0,0,0,0,0,0,3,0
1,307,1,0,0,1,6,307
2,304,1,0,0,1,9,565
3,310,1,0,0,0,12,812
4,275,1,0,0,0,15,1037
5,304,1,0,0,0,18,1288
6,319,1,0,0,0,21,1562
7,288,1,0,0,0,24,1780
8,306,1,0,0,0,27,2032
9,296,1,0,0,0,30,2279
10,280,1,0,0,0,33,2499
11,283,1,0,0,0,36,2736
12,286,1,0,0,0,39,2960
13,298,1,0,0,0,42,3198
14,306,1,0,0,0,45,3429
15,298,1,0,0,0,48,3661
16,286,1,0,0,0,51,3889
17,287,1,0,0,0,54,4115
18,281,1,0,0,0,57,4337
19,307,1,0,0,0,60,4593
20,277,1,0,0,0,63,4817
21,303,1,0,0,1,66,5045
22,287,1,0,0,1,69,5270
23,279,1,0,0,1,72,5493
24,292,1,0,0,0,75,5728
25,285,1,0,0,1,78,5954
26,290,1,0,0,1,81,6173
27,290,1,0,0,1,84,6396
28,280,1,0,0,0,87,6623
29,282,1,0,0,1,87,6845
30,278,1,0,0,0,87,7077
31,276,1,0,0,1,87,7301
32,301,1,0,0,0,87,7557
33,297,1,0,0,0,87,7798
34,297,1,0,0,0,87,8026
35,289,1,0,0,0,87,8236
36,324,1,0,0,0,87,8514
37,301,1,0,0,1,87,8745
38,286,1,0,0,1,87,8981
39,294,1,0,0,1,87,9202
40,307,1,0,0,1,87,9438
41,302,1,0,0,1,87,9666
42,307,1,0,0,1,87,9899
43,311,1,0,0,1,87,10134
44,295,1,0,0,1,87,10333
45,302,1,0,0,1,90,10551
46,305,1,0,0,1,90,10769
47,302,1,0,0,1,90,10983
48,313,1,0,0,1,90,11221
49,295,1,0,0,1,90,11422
50,281,1,0,0,1,90,11611
51,302,1,0,0,1,90,11847
52,315,1,0,0,1,90,12088
53,312,1,0,0,1,90,12310
54,315,1,0,0,1,90,12542
55,305,1,0,0,1,87,12779
56,304,1,0,0,1,87,13015
57,303,1,0,0,1,87,13252
58,305,1,0,0,1,87,13489
59,305,1,0,0,1,87,13720
60,309,1,0,0,1,87,13959
61,301,1,0,0,1,87,14180
62,296,1,0,0,1,87,14410
63,308,1,0,0,1,87,14641
64,299,1,0,0,1,87,14875
65,297,1,0,0,1,90,15100
66,310,1,0,0,1,90,15337
67,306,1,0,0,1,90,15573
68,301,1,0,0,1,90,15803
69,285,1,0,0,1,90,16041
70,298,1,0,0,1,90,16279
71,282,1,0,0,0,87,16511
72,279,1,0,0,0,87,16731
73,287,1,0,0,0,87,16958
74,276,1,0,0,0,87,17180
75,285,1,0,0,0,87,17388
76,308,1,0,0,0,87,17642
77,289,1,0,0,1,87,17868
78,323,1,0,0,0,87,18146
79,276,1,0,0,0,87,18382
80,294,1,0,0,1,87,18618
81,280,1,0,0,1,87,18840
82,281,1,0,0,0,84,19069
83,299,1,0,0,0,87,19284
84,283,1,0,0,1,87,19472
85,287,1,0,0,0,84,19658
86,286,1,0,0,0,84,19843
87,297,1,0,0,0,87,20069
88,292,1,0,0,1,87,20282
89,282,1,0,0,1,87,20482
90,313,1,0,0,0,87,20744
91,289,1,0,0,0,87,20953
92,297,1,0,0,0,87,21174
93,285,1,0,0,0,87,21360
94,303,1,0,0,0,87,21557
95,305,1,0,0,0,87,21798
96,294,1,0,0,0,87,22030
97,292,1,0,0,0,84,22249
98,287,1,0,0,0,84,22473
99,301,1,0,0,0,87,22676
100,296,1,0,0,0,87,22870
101,294,1,0,0,0,87,23088
102,296,1,0,0,0,87,23281
103,292,1,0,0,1,87,23453
104,303,1,0,0,1,87,23677
105,285,1,0,0,1,87,23905
106,284,1,0,0,0,87,24147
107,301,1,0,0,0,87,24375
108,303,1,0,0,1,87,24601
109,291,1,0,0,0,87,24782
110,291,1,0,0,1,87,24979
111,301,1,0,0,0,90,25183
112,298,1,0,0,1,90,25392
113,293,1,0,0,1,90,25577
114,298,1,0,0,0,90,25760
115,305,1,0,0,0,90,25967
116,299,1,0,0,0,90,26167
117,288,1,0,0,1,90,26372
118,278,1,0,0,0,90,26592
119,281,1,0,0,0,90,26836
120,309,1,0,0,0,90,27084
121,285,1,0,0,1,90,27287
122,280,1,0,0,0,90,27505
123,285,1,0,0,1,90,27707
124,305,1,0,0,1,90,27907
125,286,1,0,0,1,90,28151
126,296,1,0,0,1,90,28377
127,276,1,0,0,0,90,28595
128,299,1,0,0,0,90,28823
129,305,1,0,0,0,90,29053
130,305,1,0,0,1,90,29279
131,297,1,0,0,0,90,29506
132,306,1,0,0,0,90,29734
133,291,1,0,0,0,90,29940
134,293,1,0,0,0,90,30136
135,288,1,0,0,0,90,30353
136,303,1,0,0,0,90,30563
137,313,1,0,0,0,90,30763
138,292,1,0,0,0,90,30968
139,308,1,0,0,0,90,31183
140,313,1,0,0,0,90,31395
141,303,1,0,0,1,90,31620
142,293,1,0,0,1,90,31817
143,300,1,0,0,1,90,32029
144,310,1,0,0,1,87,32227
145,302,1,0,0,0,87,32432
146,297,1,0,0,1,87,32574
147,290,1,0,0,1,87,32706
148,310,1,0,0,0,87,32826
149,292,1,0,0,0,87,32920
150,303,1,0,0,0,87,33009
151,289,1,0,0,0,87,33108
152,297,1,0,0,0,87,33242
153,311,1,0,0,0,87,33444
154,302,1,0,0,0,87,33586
155,291,1,0,0,0,87,33720
156,302,1,0,0,0,87,33884
157,292,1,0,0,0,87,34011
158,294,1,0,0,0,87,34142
159,302,1,0,0,1,87,34310
160,301,1,0,0,0,87,34454
161,303,1,0,0,0,87,34556
162,287,1,0,0,0,87,34677
163,315,1,0,0,0,87,34848
164,304,1,0,0,0,87,34995
165,291,1,0,0,0,87,35096
166,314,1,0,0,0,87,35306
167,292,1,0,0,0,87,35450
168,294,1,0,0,0,87,35575
169,289,1,0,0,0,87,35704
170,296,1,0,0,0,87,35835
171,294,1,0,0,0,84,35997
172,295,1,0,0,0,87,36154
173,294,1,0,0,0,87,36309
174,297,1,0,0,0,87,36455
175,308,1,0,0,0,84,36639
176,287,1,0,0,0,87,36819
177,292,1,0,0,0,87,36940
178,295,1,0,0,0,84,37052
179,295,1,0,0,0,84,37145
180,295,1,0,0,0,84,37251
181,296,1,0,0,0,84,37370
182,292,1,0,0,0,84,37525
183,301,1,0,0,0,84,37667
184,294,1,0,0,0,84,37818
185,315,1,0,0,0,84,37995
186,276,1,0,0,0,84,38220
187,311,1,0,0,0,84,38413
188,306,1,0,0,0,84,38647
189,303,1,0,0,0,84,38849
190,299,1,0,0,0,84,39039
191,308,1,0,0,0,84,39259
192,291,1,0,0,0,84,39407
193,283,1,0,0,1,84,39590
194,290,1,0,0,0,84,39773
195,299,1,0,0,0,84,39961
196,294,1,0,0,0,84,40179
197,305,1,0,0,0,84,40363
198,315,1,0,0,0,84,40556
199,287,1,0,0,1,84,40717
200,302,1,0,0,0,84,40922
201,315,1,0,0,0,84,41091
202,310,1,0,0,0,84,41280
203,289,1,0,0,0,87,41440
204,300,1,0,0,0,84,41616
205,307,1,0,0,0,84,41799
206,291,1,0,0,0,87,41950
207,298,1,0,0,0,87,42135
208,294,1,0,0,1,87,42318
209,308,1,0,0,1,87,42494
210,286,1,0,0,0,87,42673
211,299,1,0,0,0,87,42839
212,301,1,0,0,0,87,43017
213,286,1,0,0,0,87,43200
214,305,1,0,0,1,87,43338
215,296,1,0,0,1,87,43443
216,295,1,0,0,1,87,43514
217,296,1,0,0,1,87,43641
218,298,1,0,0,1,87,43755
219,294,1,0,0,1,87,43897
220,292,1,0,0,1,87,44026
221,317,1,0,0,1,87,44228
222,310,1,0,0,1,87,44423
223,285,1,0,0,1,87,44602
224,292,1,0,0,1,87,44728
225,297,1,0,0,1,87,44825
226,297,1,0,0,1,87,44889
227,0,1,1,0,1,87,44953
228,0,1,1,0,1,87,44979
229,0,1,1,0,1,87,45006
230,0,1,1,0,1,87,45044
231,0,1,1,0,1,87,45060
232,0,1,1,0,1,87,45079
233,0,1,1,0,1,87,45129
234,0,1,1,0,1,87,45155
235,0,1,1,0,1,87,45183
236,0,1,1,0,1,87,45198
237,0,1,1,0,1,87,45202
238,0,1,1,0,1,87,45207
239,0,1,1,0,1,87,45213
240,0,1,1,0,1,87,45227
241,0,1,1,0,1,87,45245
242,0,1,1,0,1,87,45259
243,0,1,1,0,1,87,45266
244,299,1,0,0,1,87,45307
245,302,1,0,0,1,87,45404
246,302,1,0,0,1,87,45482
247,299,1,0,0,1,87,45534
248,299,1,0,0,1,87,45604
249,301,1,0,0,1,87,45716
250,293,1,0,0,1,87,45789
251,303,1,0,0,1,87,45861
252,296,1,0,0,1,90,45922
253,306,1,0,0,1,90,46019
254,291,1,0,0,1,87,46131
255,293,1,0,0,1,87,46199
256,293,1,0,0,1,87,46322
257,307,1,0,0,1,87,46449
258,316,1,0,0,1,87,46644
259,303,1,0,0,1,87,46802
260,304,1,0,0,1,87,46946
261,303,1,0,0,1,87,47140
262,304,1,0,0,1,87,47324
263,302,1,0,0,1,87,47528
264,300,1,0,0,1,87,47737
265,285,1,0,0,1,87,47958
266,286,1,0,0,1,87,48178
267,291,1,0,0,0,87,48400
268,294,1,0,0,0,87,48620
269,288,1,0,0,0,87,48809
270,281,1,0,0,0,87,48995
271,309,1,0,0,0,87,49180
272,291,1,0,0,0,87,49386
273,293,1,0,0,0,87,49559
274,315,1,0,0,0,87,49756
275,299,1,0,0,1,87,49923
276,301,1,0,0,1,87,50125
277,297,1,0,0,0,87,50296
278,300,1,0,0,0,87,50455
279,303,1,0,0,0,87,50591
280,302,1,0,0,0,87,50705
281,308,1,0,0,0,87,50834
282,288,1,0,0,0,87,50967
283,315,1,0,0,0,87,51150
284,292,1,0,0,1,87,51334
285,295,1,0,0,0,87,51559
286,307,1,0,0,0,87,51791
287,306,1,0,0,1,90,51970
288,300,1,0,0,1,90,52134
289,306,1,0,0,0,90,52262
290,300,1,0,0,0,90,52417
291,303,1,0,0,1,90,52592
292,290,1,0,0,0,90,52745
293,303,1,0,0,0,90,52920
294,292,1,0,0,0,90,53061
295,297,1,0,0,0,90,53173
296,288,1,0,0,0,90,53297
297,295,1,0,0,0,90,53429
298,305,1,0,0,1,90,53579
299,308,1,0,0,0,90,53700
300,313,1,0,0,0,90,53898
301,286,1,0,0,0,90,54044
302,300,1,0,0,0,90,54179
303,298,1,0,0,1,90,54319
304,286,1,0,0,1,87,54448
305,300,1,0,0,1,87,54621
306,288,1,0,0,1,87,54745
307,292,1,0,0,1,87,54916
