#cur_kf_id,timestamp_kf,numSF,numValid,numDegenerate,numFarPoints,numOutliers,numCheirality,numNonInitialized,meanPixelError,maxPixelError,meanTrackLength,maxTrackLength,nrElementsInMatrix,nrZeroElementsInMatrix
0,1620391275792211008,0,0,0,0,0,0,0,0,0,0,0,225,204
1,1620391275992338008,0,0,0,0,0,0,0,0,0,0,0,900,306
2,1620391276192344008,46,0,0,0,0,0,46,0,0,0,0,2025,924
3,1620391276392352008,108,0,0,0,0,0,108,0,0,0,0,3600,1992
4,1620391276592367008,122,0,0,0,0,0,122,0,0,0,0,5625,3510
5,1620391276792368008,139,0,0,0,0,0,139,0,0,0,0,8100,5478
6,1620391276992382008,160,0,0,0,0,0,160,0,0,0,0,11025,7896
7,1620391277192382008,194,0,0,0,0,0,194,0,0,0,0,14400,10764
8,1620391277392396008,200,0,0,0,0,0,200,0,0,0,0,18225,14082
9,1620391277659028008,208,0,0,0,0,0,208,0,0,0,0,22500,17850
10,1620391277859042008,223,0,0,0,0,0,223,0,0,0,0,27225,22068
11,1620391278125797008,235,0,0,0,0,0,235,0,0,0,0,32400,26736
12,1620391278325797008,263,0,0,0,0,0,263,0,0,0,0,38025,31854
13,1620391278525806008,279,0,0,0,0,0,279,0,0,0,0,44100,37422
14,1620391278725811008,303,0,0,0,0,0,303,0,0,0,0,50625,43440
15,1620391278925827008,317,0,0,0,0,0,317,0,0,0,0,57600,49908
16,1620391279192454008,327,0,0,0,0,0,327,0,0,0,0,65025,56826
17,1620391279392463008,343,0,0,0,0,0,343,0,0,0,0,72900,64194
18,1620391279592468008,355,0,0,0,0,0,355,0,0,0,0,81225,72012
19,1620391279792482008,379,0,0,0,0,0,379,0,0,0,0,90000,80280
20,1620391279992483008,404,0,0,0,0,0,404,0,0,0,0,99225,88998
21,1620391280192489008,439,5,0,0,0,0,434,0,0,2,2,108900,98166
22,1620391280392497008,460,7,0,0,0,0,453,0,0,2,2,119025,107784
23,1620391280592512008,483,27,0,0,0,0,456,0,0,2,2,129600,117852
24,1620391280792512008,508,45,0,0,0,0,463,0,0,2,2,140625,128370
25,1620391280992520008,523,69,0,0,0,0,454,0,0,2.0144927536231884702,3,152100,139266
26,1620391281192527008,555,92,0,0,0,0,463,0,0,2.0652173913043476716,3,164025,150612
27,1620391281392539008,572,117,0,0,0,0,455,0,0,2.3504273504273505147,4,176400,162120
28,1620391281592665008,590,127,0,0,0,0,463,0,0,2.3858267716535435099,4,189225,174438
